Command,Link,Description,Preprocessed_Description
halt,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/halt.htm,This command gracefully stops all processes on the Mobility Conductor. You should issue this command before rebooting or shutting down to avoid interrupting processes.,gracefully stops processes mobility conductor issue rebooting shutting avoid interrupting processes
help,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/help.htm,This command displays keyboard editing commands that allow you to make corrections or changes to the command without retyping.,keyboard editing commands allow make corrections changes without retyping
hidehash,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/hidehash.htm,This command controls the display of hashed passwords for management user in CLI.,controls display hashed passwords management user cli
hostname,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/hostname.htm,"This command changes the hostname of the Mobility Conductor, standby controller, or managed device. The hostname is used as the default prompt. You can use any alphanumeric character, punctuation, or symbol character. To use spaces, plus symbols (+), question marks (?), or asterisks (*), enclose the text in quotes.",changes hostname mobility conductor standby controller managed device hostname used default prompt use alphanumeric character punctuation symbol character use spaces plus symbols question marks asterisks enclose text quotes
http-ping,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/http-ping.htm,This command measures the latency of a webserver.,measures latency webserver
iap del branch-key,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/iap-del-branch.htm,This command removes a branch from the managed device based on the branch key.,removes branch managed device based branch key
iapvpn-tunnel-trusted,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/iapvpn-tnl-trst.htm,This command is used to mark the IAP VPN tunnel as trusted tunnel.,used mark iap vpn tunnel trusted tunnel
iap trusted-branch-db,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/iap-trst-bran-db.htm,This command is used to configure an Instant AP (IAP)-VPN branch as trusted.,used configure instant ap iap branch trusted
iapvpn-backward-compatible,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/iapvpn-bkwd-comp.htm,This command is used to enable the older Instant APs to send register requests on the older HTTP port of 80.,used enable older instant aps send register requests older http port 80
ids ap-classification-rule,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-ap-clas-rule.htm,This command configures the IDS AP classification rule profile.,configures ids ap classification rule profile
ids ap-rule-matching,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-ap-rule-mtch.htm,This command configures the IDS active AP rules profile by enabling an AP classification rule.,configures ids active ap rules profile enabling ap classification rule
ids dos-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-dos-pro.htm,"This command configures traffic anomalies for DoS attacks. DoS attacks are designed to prevent or inhibit legitimate clients from accessing the network. This includes blocking network access completely, degrading network service, and increasing processing load on clients and network equipment.",configures traffic anomalies dos attacks dos attacks designed prevent inhibit legitimate clients accessing network includes blocking network access completely degrading network service increasing processing load clients network equipment
ids general-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-gen-pro.htm,This command configures an IDS general profile and IDS profile attributes.,configures ids general profile ids profile attributes
ids impersonation-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-imperson-pro.htm,This command configures anomalies for impersonation attacks.,configures anomalies impersonation attacks
ids management-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-mgmt-pro.htm,This command configures the IDS WMS management profile and manages the events correlation for IDS event traps and syslogs (logs).,configures ids wms management profile manages events correlation ids event traps syslogs logs
ids profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-profile.htm,This command defines a set of IDS profiles that you can then apply to an AP group (with the ap-group command) or to a specific AP (with the ap-name command).,defines set ids profiles apply ap group specific ap
ids rap-wml-server-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-rap-wml-srv.htm,This command to configure an IDS remote AP WML (MSSQL or MySQL) server profile.,configure ids remote ap wml mssql mysql server profile
ids rap‑wml-table-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-rap-wml-tab.htm,This command configures an IDS remote AP WML table profile.,configures ids remote ap wml table profile
ids rate-thresholds-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-rate-thresh.htm,This command configures an IDS rate thresholds profile.,configures ids rate thresholds profile
ids signature-matching-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-sign-mtch.htm,This command configures an IDS signature matching profile. You can include one or more predefined signature profiles or a user-defined signature profile in a signature matching profile.,configures ids signature matching profile include one predefined signature profiles signature profile signature matching profile
ids signature-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-sign-pro.htm,This command configures signatures for wireless intrusion detection.,configures signatures wireless intrusion detection
ids unauthorized-device-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-unauth-dev.htm,"This command configures detection of unauthorized devices, as well as rogue AP detection and containment. Unauthorized device detection includes the ability to detect and disable rogue APs and other devices that can potentially disrupt network operations.",configures detection unauthorized devices well rogue ap detection containment unauthorized device detection includes ability detect disable rogue aps devices potentially disrupt network operations
ids wms-general-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-wms-gnrl-pro.htm,"This command configures the IDS WLAN management system (WMS) general profile. The WLAN management system (WMS) on Mobility Conductor monitors wireless traffic to detect any new AP or wireless client station in the RF environment. When an AP or wireless client is detected, it is classified, and its classification is used to determine the security policies that should be enforced on the AP or client.",configures ids wlan management system wms general profile wlan management system wms mobility conductor monitors wireless traffic detect new ap wireless client station rf environment ap wireless client detected classified classification used determine security policies enforced ap client
ids wms-local-system-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ids-lcl-sys-pro.htm,This command configures the WLAN management system (WMS) service to terminate on individual managed devices instead of Mobility Conductor.,configures wlan management system wms service terminate individual managed devices instead mobility conductor
ifmap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ifmap.htm,This command is used in conjunction with ClearPass Policy Manager. It sends HTTP User Agent Strings and mDNS broadcast information to ClearPass Policy Manager so that it can make more accurate decisions about what types of devices are connecting to the network.,used conjunction clearpass policy manager sends http user agent strings mdns broadcast information clearpass policy manager make accurate decisions types devices connecting network
interface cellular,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/interfc-cell.htm,This command allows you to specify an ingress or egress ACL to the cellular interface of an EVDO modem.,allows specify ingress egress acl cellular interface evdo modem
interface gigabitethernet,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/intrfc-gigaether.htm,"This command configures a GigabitEthernet interface. Use this command to configure settings for Mobility Conductor interface, including duplex, LLDP and switchport settings. You can issue the show port status command to obtain information about the interfaces currently available on the Mobility Conductor.",configures gigabitethernet interface use configure settings mobility conductor interface including duplex lldp switchport settings issue show port status obtain information interfaces currently available mobility conductor
interface loopback,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/intfc-loopbk.htm,"This command configures the loopback address on Mobility Conductor. If configured, the loopback address is used as Mobility Conductor’s IP address. If you do not configure a loopback address for Mobility Conductor, the IP address assigned to VLAN 1 is used as Mobility Conductor’s IP address. After you configure or modify a loopback address, you need to reboot Mobility Conductor.",configures loopback address mobility conductor configured loopback address used mobility conductor ip address configure loopback address mobility conductor ip address assigned vlan 1 used mobility conductor ip address configure modify loopback address need reboot mobility conductor
interface mgmt,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/interface-mgmt.htm,This command configures the out-of-band Ethernet management port on controller.,configures ethernet management port controller
interface port-channel,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/intrfc-port-chnl.htm,This command configures an Ethernet port channel.,configures ethernet port channel
interface range,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/interface-range.htm,This command configures a range of GigabitEthernet interfaces on the managed device.,configures range gigabitethernet interfaces managed device
interface tunnel,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/interface-tunnel.htm,This command configures a Layer-2 or Layer-3 GRE tunnel between a managed device and another GRE-capable device. The default is an IPv4 Layer-3 GRE tunnel (tunnel mode gre ip).,configures gre tunnel managed device another device default ipv4 gre tunnel tunnel mode gre ip
interface vlan,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/interface-vlan.htm,This command configures a VLAN interface. All ports on the managed device are assigned to VLAN 1 by default.,configures vlan interface ports managed device assigned vlan 1 default
interface vlan ip igmp proxy,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/intrfc-vlan-igmp.htm,"This command enables IGMP or IGMP snooping on this interface, or configures a VLAN interface for uninterrupted streaming of multicast traffic.",enables igmp igmp snooping interface configures vlan interface uninterrupted streaming multicast traffic
interface vlan ip ospf,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/intfc-vlanipospf.htm,"This command configures OSPF on the VLAN interface. When configuring OSPF over multiple vendors, use this command to ensure that all routers use the same cost. Otherwise, OSPF may route improperly.",configures ospf vlan interface configuring ospf multiple vendors use ensure routers use cost otherwise ospf may route improperly
internal-modem,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/int-modem.htm,This command is used to configure the modem dump logs options.,used configure modem dump logs options
iot-dev-upgrade,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/iot-dev-upgr.htm,This command manually upgrades firmware on remote Aruba device.,manually upgrades firmware remote aruba device
iot-manager,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/iot-mgr.htm,The IoT manager process interacts with the IoT database on the Mobility Conductor. Use this command to dump the content of the database to flash memory or repair the database and reclaim unused flash memory.,iot manager process interacts iot database mobility conductor use dump content database flash memory repair database reclaim unused flash memory
iot radio-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/iot-radio-pro.htm,This command configures or modifies an IoT radio profile.,configures modifies iot radio profile
iot-sniffer radio,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/iot-snif-rad.htm,This command configures the IoT sniffer function on the radio of an AP.,configures iot sniffer function radio ap
iot transportProfile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/iot-trans-pro.htm,This command configures or modifies an IoT transport profile. An IoT transport profile is a global profile that is used to transport BLE information to an endpoint server.,configures modifies iot transport profile iot transport profile global profile used transport ble information endpoint server
iot usetransportProfile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/iot-usetrans-pro.htm,This command sets an IoT management server profile. You can set up to four management server profiles.,sets iot management server profile set four management server profiles
ip access-list eth,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-acc-lst-eth.htm,"This command configures an Ethertype ACL.The Ethertype field in an Ethernet frame indicates the protocol being transported in the frame. This type of ACL filters on the Ethertype field in the Ethernet frame header, and is useful when filtering non-IP traffic on a physical port. This ACL can be used to permit IP frames while blocking other non-IP protocols such as IPX or Appletalk.",configures ethertype ethertype field ethernet frame indicates protocol transported frame type acl filters ethertype field ethernet frame header useful filtering traffic physical port acl used permit ip frames blocking protocols ipx appletalk
ip access-list extended,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-acc-list-extd.htm,"This command configures an extended ACL. To configure IPv6 specific rules, use the ipv6 keyword for each rule.",configures extended acl configure ipv6 specific rules use ipv6 keyword rule
ip access-list geolocation,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-acc-lst-geo.htm,This command configures a global geolocation ACL.,configures global geolocation acl
ip access-list mac,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-acc-list-mac.htm,"This command configures a MAC ACL. MAC ACLs allow filtering of non-IP traffic. This ACL filters on a specific source MAC address or range of MAC addresses. If you configure the mirror option, define the destination to which mirrored packets are sent in the firewall policy. For more information, see firewall on page 1.",configures mac acl mac acls allow filtering traffic acl filters specific source mac address range mac addresses configure mirror option define destination mirrored packets sent firewall policy information see firewall page 1
ip access-list route,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-acc-ist-rout.htm,This command configures an ACL for PBR.,configures acl pbr
ip access-list session,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-acc-list-sess.htm,"This command configures an ACL session. To create IPv6 specific rules, use the ipv6 keyword. Session ACLs define traffic and firewall policies on the managed device. You can configure multiple rules for each policy, with rules evaluated from top (1 is first) to bottom. The first match terminates further evaluation. Generally, you should order more specific rules at the top of the list and place less specific rules at the bottom of the list. The ACL ends with an implicit deny all. To configure IPv6 rules, use the ipv6 keyword followed by the regular ACL keywords.",configures acl session create ipv6 specific rules use ipv6 keyword session acls define traffic firewall policies managed device configure multiple rules policy rules evaluated top 1 first bottom first match terminates evaluation generally order specific rules top list place less specific rules bottom list acl ends implicit deny configure ipv6 rules use ipv6 keyword followed regular acl keywords
ip access-list standard,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-acc-list-std.htm,This command configures a standard ACL. Standard ACLs are supported for compatibility with router software from other vendors. This ACL permits or denies traffic based on the source address of the packet.,configures standard acl standard acls supported compatibility router software vendors acl permits denies traffic based source address packet
ip cp-redirect-address,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-cp-redrct-adr.htm,This command configures a redirect address for captive portal. This command redirects wireless clients that are on different VLANs (from the managed device’s IP address) to the captive portal on the managed device.,configures redirect address captive portal redirects wireless clients different vlans managed device ip address captive portal managed device
ip default-gateway,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-def-gatway.htm,"This command configures the default gateway for Mobility Conductor or the managed device. You can use this command to set the default gateway to the IP address of the interface on the upstream router or switch to which you connect Mobility Conductor or the managed device. If you define more than one dynamic gateway type, you must also define a cost for the route to each gateway. Mobility Conductor or the managed device will first attempt to obtain a gateway IP address using the option with the lowest cost. If Mobility Conductor and the managed device are unable to obtain a gateway IP address, they will then attempt to obtain a gateway IP address using the option with the next-lowest path cost.",configures default gateway mobility conductor managed device use set default gateway ip address interface upstream router switch connect mobility conductor managed device define one dynamic gateway type must also define cost route gateway mobility conductor managed device first attempt obtain gateway ip address using option lowest cost mobility conductor managed device unable obtain gateway ip address attempt obtain gateway ip address using option path cost
ip dhcp adaptive,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dhcp-adapt.htm,This command enables adaptive VLAN assignment based on the DHCP server.,enables adaptive vlan assignment based dhcp server
ip dhcp default-pool,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dhcp-def-pool.htm,This command configures the DHCP pool type.,configures dhcp pool type
ip dhcp excluded-address,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dhcp-excl-adr.htm,This command configures an excluded address range for the DHCP server on Mobility Conductor. Ensure that the statically assigned IP addresses are excluded.,configures excluded address range dhcp server mobility conductor ensure statically assigned ip addresses excluded
ip dhcp increase-increase-limit,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dhcp-incr-lmt.htm,"This command configures additional DHCP scope that is twice the user limit on specific controller platforms. This feature is disabled by default. This command can be used only in any of the following controller platforms: 7005Controller, 7008Controller, or 7010Controller.",configures additional dhcp scope twice user limit specific controller platforms feature disabled default used following controller platforms 7005controller 7008controller 7010controller
ip dhcp load-balance,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dhcp-load-bal.htm,This command configures the DHCP pool load balancing priority.,configures dhcp pool load balancing priority
ip dhcp option-82,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dhcp-option82.htm,This command configures option-82 information through XML file,configures information xml file
ip dhcp ping-check,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dhcp-png-chck.htm,This command disables the ping-check option on the DHCP server of the Mobility Conductor.,disables option dhcp server mobility conductor
ip dhcp pool,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dhcp-pool.htm,"This command configures a DHCP pool on the Mobility Conductor. A DHCP pool should be created for each IP subnetwork for which DHCP services should be provided. DHCP pools are not specifically tied to VLANs, as the DHCP server exists on every VLAN. When Mobility Conductor receives a DHCP request from a client, it examines the origin of the request to determine if it should respond. If the IP address of the VLAN matches a configured DHCP pool, Mobility Conductor answers the request. When a sub-option, option 5, is configured, the DHCP server will allocate an address on the subnet specified in the link-selection sub-option.",configures dhcp pool mobility conductor dhcp pool created ip subnetwork dhcp services provided dhcp pools specifically tied vlans dhcp server exists every vlan mobility conductor receives dhcp request client examines origin request determine respond ip address vlan matches configured dhcp pool mobility conductor answers request option 5 configured dhcp server allocate address subnet specified
ip dhcp reserved,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dhcp-resrvd.htm,This command configures DHCP server device reservations. You can use IP reservation to manually bind IP addresses from a DHCP pool to a client MAC address.,configures dhcp server device reservations use ip reservation manually bind ip addresses dhcp pool client mac address
ip domain-name,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dom-name.htm,This command configures the default domain name. Mobility Conductor uses the default domain name to complete hostnames that do not contain domain names. You must have at least one domain name server configured on the controller (see ip name-server on page 1).,configures default domain name mobility conductor uses default domain name complete hostnames contain domain names must least one domain name server configured controller see ip page 1
ip domain lookup,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dom-lookup.htm,This command enables DNS hostname to address translation. This command is enabled by default. Use the no form of this command to disable.,enables dns hostname address translation enabled default use form disable
ip domain redirect,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dom-redirect.htm,This command enables Domain Name System (DNS) redirect for hostname translation. This command is disabled by default. Use the no form of this command to disable.,enables domain name system dns redirect hostname translation disabled default use form disable
ip domain-redirect,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dom-redrct.htm,This command redirects the DNS query matching corporate domain to a dedicated corporate IPv4 DNS server. This command is not enabled by default. Use the no form of this command to disable.,redirects dns query matching corporate domain dedicated corporate ipv4 dns server enabled default use form disable
ip dynamic-dns,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-dyna-dns.htm,This command configures DDNS information.,configures ddns information
ip igmp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-igmp.htm,"This command configures the Internet Group Management Protocol (IGMP) timers and counters. IGMP establishes and manages IP multicast group membership. See RFC 3376, “Internet Group Management Protocol, version 3” for more information.",configures internet group management protocol igmp timers counters igmp establishes manages ip multicast group membership see rfc 3376 internet group management protocol version 3 information
ip local,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-local.htm,This command configures a local IP pool for Layer-2 Tunnel Protocol (L2TP). VPN clients can be assigned IP addresses from the L2TP pool.,configures local ip pool tunnel protocol l2tp vpn clients assigned ip addresses l2tp pool
ip mobile active-domain,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-mob-actv-dom.htm,"This command configures the mobility domain that is active on Mobility Conductor. All managed devices are initially part of the “default” mobility domain. If you use the “default” mobility domain, you do not need to specify this domain as the active domain on Mobility Conductor. However, once you assign a managed device to a user-defined domain, the “default” mobility domain is no longer an active domain on the Mobility Conductor.",configures mobility domain active mobility conductor managed devices initially part default mobility domain use default mobility domain need specify domain active domain mobility conductor however assign managed device domain default mobility domain longer active domain mobility conductor
ip mobile domain,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-mob-dom.htm,This command configures the mobility domain on the managed devices. You configure the HAT on Mobility Conductor; the mobility domain information is pushed to all managed devices that are managed by the same Mobility Conductor.,configures mobility domain managed devices configure hat mobility conductor mobility domain information pushed managed devices managed mobility conductor
ip mobile foreign-agent,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-mob-frgn-agnt.htm,This command configures the foreign agent for IP mobility. A foreign agent is the managed device which handles all mobile IP communication with a home agent on behalf of a roaming client.,configures foreign agent ip mobility foreign agent managed device handles mobile ip communication home agent behalf roaming client
ip mobile home-agent,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-mob-home-agnt.htm,This command configures the home agent for IP mobility. A home agent for a mobile client is the managed device where the client first appears when it joins the mobility domain. The home agent is the single point of contact for the client when it roams.,configures home agent ip mobility home agent mobile client managed device client first appears joins mobility domain home agent single point contact client roams
ip mobile packet-trace,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-mob-pckt-trce.htm,This command enables packet tracing for the given mac address. This command is used for troubleshooting purposes only.,enables packet tracing given mac address used troubleshooting purposes
ip mobile proxy,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-mob-proxy.htm,This command configures the proxy mobile IP module in a mobility-enabled managed device. The proxy mobile IP module in a mobility-enabled managed device detects when a mobile client has moved to a foreign network and determines the home agent for a roaming client. The proxy mobile IP module performs the following functions:,configures proxy mobile ip module managed device proxy mobile ip module managed device detects mobile client moved foreign network determines home agent roaming client proxy mobile ip module performs following functions
ip mobile revocation,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-mob-revoc.htm,"This command configures the frequency at which registration revocation messages are sent. A home agent or foreign agent can send a registration revocation message, which revokes registration service for the mobile client. For example, when a mobile client roams from one foreign agent to another, the home agent can send a registration revocation message to the first foreign agent so that the foreign agent can free any resources held for the client.",configures frequency registration revocation messages sent home agent foreign agent send registration revocation message revokes registration service mobile client example mobile client roams one foreign agent another home agent send registration revocation message first foreign agent foreign agent free resources held client
ip name-server,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-name-srvr.htm,This command configures servers for name and address resolution. You can configure up to six servers using separate commands. Specify one or more servers when you configure a default domain name (see ip domain-name on page 1).,configures servers name address resolution configure six servers using separate commands specify one servers configure default domain name see ip page 1
ip nat,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-nat.htm,This command configures a pool of IP addresses for network address translation (NAT). This command can be referenced to a session ACL rule (see ip access-list session on page 1).,configures pool ip addresses network address translation nat referenced session acl rule see ip session page 1
ip nexthop-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-nexthop-list.htm,Define a next hop list for policy-based routing.,define next hop list routing
ip probe data-vpnc,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-prb-data-vpnc.htm,This command configures IP probe profile for data VPN concentrator.,configures ip probe profile data vpn concentrator
ip probe default,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-probe-def.htm,This command configures IP probes for the policy-based routing using a next-hop list. The health-check feature uses ping-probes to check reachability and latency from the managed device to data center though each of the managed device's WAN up-links. Latency is calculated based on the round-trip time (RTT) of ping responses. Ping settings are configured globally using the ip probe default command.,configures ip probes routing using list feature uses check reachability latency managed device data center though managed device wan latency calculated based time rtt ping responses ping settings configured globally using ip probe default
ip probe health-check,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-prb-hlth-chck.htm,This command configures WAN health-check ping-probes for measuring WAN availability and latency on managed device up-links. The health-check feature uses ping-probes to check reachability and latency from the managed device to data center though each of the managed device's WAN up-links. Latency is calculated based on the delay of ping responses.,configures wan measuring wan availability latency managed device feature uses check reachability latency managed device data center though managed device wan latency calculated based delay ping responses
ip radius,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-radius.htm,"This command configures global parameters for RADIUS servers. If the aaa authentication-server radius command configures a server-specific NAS IP, the server-specific IP address is used instead.",configures global parameters radius servers aaa radius configures nas ip ip address used instead
ip route,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-route.htm,This command configures a static route on Mobility Conductor or the managed device. Use the ip default-gateway command to set the default gateway to the IP address of the interface on the upstream router or switch to which you connect Mobility Conductor or the managed device.,configures static route mobility conductor managed device use ip set default gateway ip address interface upstream router switch connect mobility conductor managed device
ip tunnel,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-tunnel-pool.htm,This command configures the DHCP address pool for remote IP address distribution. This command should be configured from the /md node hierarchy.,configures dhcp address pool remote ip address distribution configured node hierarchy
ip vlan pool,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-vlan-pool.htm,This command configures the VLAN address pool for remote IP address distribution. This command should be configured from the /md node hierarchy.,configures vlan address pool remote ip address distribution configured node hierarchy
ip-flow-export-profile,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ip-flw-expt-pro.htm,This command configures the IP flow collector profile. This command should be configured under /md.,configures ip flow collector profile configured
ipv6 cp-redirect-address,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ipv6-cpdir-addr.htm,This command configures a redirect address for captive portal. This command redirects wireless clients that are on different VLANs (from the managed device’s IP address) to the captive portal on the managed device.,configures redirect address captive portal redirects wireless clients different vlans managed device ip address captive portal managed device
ipv6 default-gateway,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ipv6-def-gtway.htm,This command configures an IPv6 default gateway.,configures ipv6 default gateway
ipv6 dhcp excluded-address,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ipv6-dhcp-excadr.htm,This command configures an excluded IPv6 address range for the DHCPv6 server on the Mobility Conductor. Ensure that the statically assigned IPv6 addresses are excluded.,configures excluded ipv6 address range dhcpv6 server mobility conductor ensure statically assigned ipv6 addresses excluded
ipv6 dhcp pool,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ipv6-dhcp-pool.htm,"This command configures a DHCPv6 pool on the Mobility Conductor. A DHCPv6 pool should be created for each IPv6 subnetwork for which DHCPv6 services should be provided. DHCPv6 pools are not specifically tied to VLANs, as the DHCPv6 server exists on every VLAN. When the Mobility Conductor receives a DHCPv6 request from a client, it examines the origin of the request to determine if it should respond. If the IPv6 address of the VLAN matches a configured DHCPv6 pool, the Mobility Conductor answers the request.",configures dhcpv6 pool mobility conductor dhcpv6 pool created ipv6 subnetwork dhcpv6 services provided dhcpv6 pools specifically tied vlans dhcpv6 server exists every vlan mobility conductor receives dhcpv6 request client examines origin request determine respond ipv6 address vlan matches configured dhcpv6 pool mobility conductor answers request
ipv6 dhcp relay-option,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ipv6-dhcp-relay.htm,This command configures the DHCPv6 relay options by using XML file. The XML definition file allows you to configure DHCPv6 Option 18 (Circuit ID) and Option 37 (Remote ID) sub-type options.,configures dhcpv6 relay options using xml file xml definition file allows configure dhcpv6 option 18 circuit id option 37 remote id options
ipv6 domain lookup,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ipv6-dom-lookup.htm,This command enables IPv6 Domain Name System hostname translation for clients.,enables ipv6 domain name system hostname translation clients
ipv6 domain-redirect,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ipv6-dom-redrct.htm,This command redirects the domain to a dedicated DNS server in the IPv6 domain. This command is enabled by default. Use the no form of this command to disable.,redirects domain dedicated dns server ipv6 domain enabled default use form disable
ipv6 enable,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ipv6-enable.htm,This command enables IPv6 packet processing globally. This option is disabled by default.,enables ipv6 packet processing globally option disabled default
ipv6 firewall,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ipv6-firewall.htm,This command configures firewall options on the Mobility Conductor for IPv6 traffic.,configures firewall options mobility conductor ipv6 traffic
ipv6 helper-address,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ipv6-help-adr.htm,This command configures the DHCPv6 server relay agent. .,configures dhcpv6 server relay agent
ipv6 kernel-disable,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/ipv6-kernel-disable.htm,This command disables IPv6 configurations in the Linux Kernel systems.,disables ipv6 configurations linux kernel systems
