Command,Link,Description,Preprocessed_Description
show ap monitor pot-sta-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-pot-stlist.htm,This command displays the potential client table with the following values:,show ap monitor pot-sta-list potential client table following values
show ap monitor routers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-router.htm,"This command displays router MAC Addresses learned. The output of this command includes the router’s MAC address, IP address and uptime.",show ap monitor routers router mac addresses learned output includes router mac address ip address uptime
show ap monitor scan-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-scan-inf.htm,This command displays AP scanning information.,show ap monitor scan-info ap scanning information
show ap monitor sta-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-instant.htm,This command displays the configuration and status of monitor information of the AP.,show ap monitor sta-list configuration status monitor information ap
show ap mpskcache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mpskcache.htm,This command displays the multiple PSK local cache table for clients associated with the AP.,show ap mpskcache multiple psk local cache table clients associated ap
show ap onboarding event,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-onbrd-evnt.htm,This command displays the details of the onboarding event history when a device connects to the network.,show ap onboarding event details onboarding event history device connects network
show ap onboarding status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-onbrd-st.htm,This command displays the status of onboarding event when a device connects to the network.,show ap onboarding status status onboarding event device connects network
show ap pmkcache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-pmkcache.htm,This command displays the PMK cache table for clients associated with the AP.,show ap pmkcache pmk cache table clients associated ap
show ap power-mgmt-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-power-mng.htm,"This command displays the power consumption information of the AP. Use this command to view the power derived and used by the AP, the status of IPM and ITM functions among other power consumption statistics.",show ap power-mgmt-statistics power consumption information ap use view power derived used ap status ipm itm functions among power consumption statistics
show ap radio-summary,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-radio-sum.htm,This command displays AP radios registered to this controller.,show ap radio-summary ap radios registered controller
show ap roamcache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-roamcache.htm,This command displays the preroam cache entry in a tabular format.,show ap roamcache preroam cache entry tabular format
show ap regulatory,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-regulatory.htm,This command displays the currently active Regulatory Cert.,show ap regulatory currently active regulatory cert
show ap spectrum monitors,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-spt-mon.htm,This command displays a list of APs terminating on the controller that are currently configured as spectrum monitors or hybrid APs.,show ap spectrum monitors list aps terminating controller currently configured spectrum monitors hybrid aps
show ap vlan-usage,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-vlan-usage.htm,This command displays the numbers of clients on each VLAN.,show ap vlan-usage numbers clients vlan
show ap wmm-flow,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-wmm-flow.htm,This command displays the Wireless Multimedia (WMM) flow table.,show ap wmm-flow wireless multimedia wmm flow table
show ap machine-authcache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showap-ma-auth.htm,"This command displays the active APs, AP scanning, and AP synchronization status for authentication cache.",show ap machine-authcache active aps ap scanning ap synchronization status authentication cache
show app-monitoring list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-app-mon-list.htm,This command displays the list of pre-defined application monitoring settings.,show app-monitoring list list application monitoring settings
show aps,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showaps.htm,This command displays all active APs in the cluster.,show aps active aps cluster
show aps scanning,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showap-scan.htm,"This command displays all active Instant APs, Instant AP scanning status.",show aps scanning active instant aps instant ap scanning status
show app-services,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-app-services.htm,This command displays the list of application services available on AP.,show app-services list application services available ap
show arm config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ata-cur-conf.htm,This command displays the tunnel details for an AP.,show arm config tunnel details ap
show arp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-arp.htm,This command displays Address Resolution Protocol (ARP) entries for the controller.,show arp address resolution protocol arp entries controller
show aruba-central,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-aruba-central.htm,This command displays information about the Aruba Central account.,show aruba-central information aruba central account
show aruba-central control-channel,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ref-aruba-cen-cont-chan.htm,This command displays the details of Aruba-Central control channel.,show aruba-central control-channel details control channel
show aruba-central control-channel-counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-acccc.htm,This command displays information about all the control channel counters.,show aruba-central control-channel-counters information control channel counters
show aruba central details,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ref-aruba-cen.htm,This command displays the number of references to Aruba Central.,show aruba central details number references aruba central
show aruba central smart amon counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ac-sac.htm,This command displays information about all the smart AMON counters.,show aruba central smart amon counters information smart amon counters
show aruba central stats counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ac-sc.htm,This command displays information about statistic counters.,show aruba central stats counters information statistic counters
show aruba central stats counters all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ac-sca.htm,This command displays information about all the statistic counters in Aruba Central account.,show aruba central stats counters all information statistic counters aruba central account
show ata counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ata-count.htm,This command displays the ata counters for AP. Use the output of this command to view a list of ata counters available for AP.,show ata counters ata counters ap use output view list ata counters available ap
show ata endpoint,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ata-endpoint.htm,This command displays the details of the tunnels for an AP.,show ata endpoint details tunnels ap
show auth-tracebuf,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-auth-tracebuf.htm,This command displays the trace buffer for authentication events of a gateway. Use the output of this command to troubleshoot 802.1X authentication errors. Include the <address> parameter to filter data by the MAC address of the client which is experiencing errors.,show auth-tracebuf trace buffer authentication events gateway use output troubleshoot authentication errors include address parameter filter data mac address client experiencing errors
show audit-trail,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-audit-trail.htm,This command displays the audit trail log of a gateway.,show audit-trail audit trail log gateway
show audit-trail history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-audit-trail-hist.htm,This command displays the controller’s audit trail history log.,show audit-trail history controller audit trail history log
show auth-survivability cached-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-auth-surviv.htm,This command displays authentication credentials cached by the AP.,show auth-survivability cached-info authentication credentials cached ap
show boot,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-boot.htm,"Display boot parameters, including the boot partition and the configuration file to use when booting the controller.",show boot display boot parameters including boot partition configuration file use booting controller
show boot history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-boot-hist.htm,"This command displays the gateway's reload and upgrade history including the reboot history, reboot cause, user and time stamp.",show boot history gateway reload upgrade history including reboot history reboot cause user time stamp
show captive-portal,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cap-portal.htm,This command displays the auto whitelist table for a captive portal.,show captive-portal auto whitelist table captive portal
show captive-portal-domains,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cap-portal-do.htm,Captive portal is one of the methods of authentication. A captive portal presents a web page which requires action on the part of the user before network access is granted.,show captive-portal-domains captive portal one methods authentication captive portal presents web page requires action part user network access granted
show cellular config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showcellular.htm,This commands display the cellular configuration details of the AP.,show cellular config commands display cellular configuration details ap
show cellular status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showcellular-stat.htm,This command displays the status of the cellular configuration for the AP.,show cellular status status cellular configuration ap
show clarity,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clarity-config.htm,This command displays the status and history of the clarity configuration parameters on the AP.,show clarity status history clarity configuration parameters ap
show clarity history sta,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clarity-hstry-sta.htm,This command displays the history of the passive STA statistics generated by inline monitoring.,show clarity history sta history passive sta statistics generated inline monitoring
show clarity history sta-dns,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clarity-hstry-sta-dns.htm,This command displays the history of the STA DNS statistics generated by inline monitoring.,show clarity history sta-dns history sta dns statistics generated inline monitoring
show clarity stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clarity-stas.htm,This command displays the total number of client events since AP boot-up. It also helps in debugging the discrepancy problem between the events sent to Aruba Central.,show clarity stats total number client events since ap also helps debugging discrepancy problem events sent aruba central
show clients,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-clients.htm,"This command displays details about the AP clients. Use this command to view information about the AP clients. The AP client table provides basic information about the clients. For detailed information of each client, use the required parameter and specify the MAC address of the client.",show clients details ap clients use view information ap clients ap client table provides basic information clients detailed information client use required parameter specify mac address client
show clients debug,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-clients-debug.htm,"This command displays detailed information about the clients MAC and IP addresses, client role, authentication aging time, and accounting intervals, ESSID and BSSID details, VLAN and multicast groups to which the client is associated, and DHCP roles and options associated with the client.",show clients debug detailed information clients mac ip addresses client role authentication aging time accounting intervals essid bssid details vlan multicast groups client associated dhcp roles options associated client
show clients debug advanced,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-cl-db-adv.htm,"This command displays detailed information about the clients MAC and IP addresses, connect status, and authentication options associated with the client.",show clients debug advanced detailed information clients mac ip addresses connect status authentication options associated client
show client status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-client-status.htm,This command displays the current status for a client based on the specified MAC address.,show client status current status client based specified mac address
show clients wired,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-clients-wired.htm,This command displays the list of clients connected to wired or Ethernet interface.,show clients wired list clients connected wired ethernet interface
show clients wired debug,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-clients-wired-deb.htm,This command displays the end-to-end information of the wired clients for debugging purpose.,show clients wired debug information wired clients debugging
show clock,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clock.htm,This command displays the current time on the managed device.,show clock current time managed device
show clock summer-time,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clock-summ-time.htm,This command displays summer (daylight savings) time settings.,show clock summer-time summer daylight savings time settings
show clock timezone,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clock-timezone.htm,This command displays the configured timezone on the AP.,show clock timezone configured timezone ap
show clock timezone all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clock-timezone-all.htm,This command displays all the configured timezones for the AP.,show clock timezone all configured timezones ap
show cluster,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cluster.htm,This command displays the cluster configuration of the APs.,show cluster cluster configuration aps
show cluster-config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-cluster-conf.htm,This command displays the cluster configuration for the control plane security feature.,show cluster-config cluster configuration control plane security feature
show cluster bss-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cluster-bss.htm,This command displays the cluster bss details of the APs.,show cluster bss-table cluster bss details aps
show cluster-security,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clustersec.htm,This command displays cluster security (DTLS) configuration details of the AP in the network.,show cluster-security cluster security dtls configuration details ap network
show cluster-security connections,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clst-sec-conn.htm,This command displays the details of the connections monitored in the swarm by cluster security DTLS in the network.,show cluster-security connections details connections monitored swarm cluster security dtls network
show cluster-security peers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clstrsec-peer.htm,This command displays cluster security configuration details for all the APs in the cluster.,show cluster-security peers cluster security configuration details aps cluster
show cluster-switches,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cl-switches.htm,Execute this command on a master switch using control plane security in a multi-master environment to show other Gateways to which it is connected.,show cluster-switches execute master switch using control plane security environment show gateways connected
show cluster-tech-support,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cl-tech-sup.htm,This command displays cluster-related information in relation to the gateway.,show cluster-tech-support information relation gateway
show configuration,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-conf.htm,"This command displays the saved configuration on the AP. Issue this command to view the entire configuration saved on the AP, including all profiles, ACLs, and interface settings.",show configuration saved configuration ap issue view entire configuration saved ap including profiles acls interface settings
show configuration effective,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-conf-eff.htm,"This command displays the effective configuration of devices connected to the node. Issue this command to view the entire configuration saved on the Gateway, including all profiles, ACLs, and interface settings.",show configuration effective effective configuration devices connected node issue view entire configuration saved gateway including profiles acls interface settings
show configuration failure,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-conf-fail.htm,"This command displays all the configuration errors of the configuration node. Issue this command to view the entire configuration saved on the gateway, including all profiles, ACLs, and interface settings.",show configuration failure configuration errors configuration node issue view entire configuration saved gateway including profiles acls interface settings
show configuration partial,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-cnf-par.htm,This command displays incremental configuration changes between the last two commits.,show configuration partial incremental configuration changes last two commits
show configuration pending,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-conf-pen.htm,"This command displays the pending configuration of the configuration node. Issue this command to view the entire configuration saved on the gateway, including all profiles, ACLs, and interface settings.",show configuration pending pending configuration configuration node issue view entire configuration saved gateway including profiles acls interface settings
show configuration received,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-conf-rec.htm,"This command displays the received configuration from the Mobility Conductor. Issue this command to view the entire configuration saved on the gateway, including all profiles, ACLs, and interface settings.",show configuration received received configuration mobility conductor issue view entire configuration saved gateway including profiles acls interface settings
show control-plane-security,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-con-pln-secr.htm,This command displays the current configuration of the control plane security profile.,show control-plane-security current configuration control plane security profile
show country,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-country.htm,This command displays the country and domain upgrade trail of the controller. A controller’s country code sets the regulatory domain for the radio frequencies used by the Gateways. This value is typically set during the controller’s initial setup procedure. Issue this command to determine the country code specified during setup.,show country country domain upgrade trail controller controller country code sets regulatory domain radio frequencies used gateways value typically set controller initial setup procedure issue determine country code specified setup
show country-codes,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-country-co.htm,This command displays the list of supported country codes for the AP.,show country-codes list supported country codes ap
show country trail,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-country-trail.htm,This command displays the country and domain upgrade trail of the controller. A controller’s country code sets the regulatory domain for the radio frequencies used by the Gateways. This value is typically set during the controller’s initial setup procedure.,show country trail country domain upgrade trail controller controller country code sets regulatory domain radio frequencies used gateways value typically set controller initial setup procedure
show cp-bwcontracts,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cp-bwcontr.htm,This command displays a list of Control Processor (CP) bandwidth contracts for whitelist ACLs.,show cp-bwcontracts list control processor cp bandwidth contracts whitelist acls
show cp-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cp-stats.htm,This command displays the control plane (CP) queue statistics.,show cp-stats control plane cp queue statistics
show cpu,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cpu.htm,This command displays the CPU load for application and system processes.,show cpu cpu load application system processes
show cpu details,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cpu-details.htm,This command displays the additional CPU troubleshooting statistics. Use this command to view CPU load for application and system processes.,show cpu details additional cpu troubleshooting statistics use view cpu load application system processes
show cpuload,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cpuload.htm,The show cpuload command displays the controller CPU load for application and system processes.,show cpuload show cpuload controller cpu load application system processes
show cpuload current,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cpuload-curr.htm,This command displays the exact controller CPU usage and load statistics for application and system processes.,show cpuload current exact controller cpu usage load statistics application system processes
show crashinfo,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-crashinfo.htm,This command displays the list of crashes in the system.,show crashinfo list crashes system
show crypto dp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crypto-dp.htm,"This command displays the latest crypto data packets. Use this command to send crypto data packet information to the controller log files, or to clear a crypto ISAKMP state associated with a specific IP address.",show crypto dp latest crypto data packets use send crypto data packet information controller log files clear crypto isakmp state associated specific ip address
show crypto dynamic-map,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-dyn-map.htm,This command displays IPsec dynamic map configurations. Dynamic maps enable IPsec SA negotiations from dynamically addressed IPsec peers.,show crypto dynamic-map ipsec dynamic map configurations dynamic maps enable ipsec sa negotiations dynamically addressed ipsec peers
show crypto ipsec ipsec-map-id,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-ipsec.htm,This command displays the current IPsec configuration on the controller. Issue this command to view IPsec map to ID mapping.,show crypto ipsec ipsec-map-id current ipsec configuration controller issue view ipsec map id mapping
show crypto ipsec sa,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-ipsec-sa.htm,This command displays the security associations (SA) of IPsec configuration on the gateway.,show crypto ipsec sa security associations sa ipsec configuration gateway
show crypto ipsec transform-set,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-ipsec-trsfrm-set.htm,This command displays the current IPsec configuration on the managed device. Execute the show crypto ipsec command to view the Maximum Transmission Unit (MTU) size allowed for network transmissions using IPsec security. It also displays the transform sets that define a specific encryption and authentication type.,show crypto ipsec transform-set current ipsec configuration managed device execute show crypto ipsec view maximum transmission unit mtu size allowed network transmissions using ipsec security also transform sets define specific encryption authentication type
show crypto isakmp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-isakmp.htm,"This command displays Internet Key Exchange (IKE) parameters for the Internet Security Association and Key Management Protocol (ISAKMP). Use the show crypto isakmp command to view ISAKMP settings, statistics and policies.",show crypto isakmp internet key exchange ike parameters internet security association key management protocol isakmp use show crypto isakmp view isakmp settings statistics policies
show crypto isakmp groupname,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp.htm,"This command displays the the Internet Key Exchange (IKE) Aggressive group name for the Internet Security Association and Key Management Protocol (ISAKMP). Aggressive-mode IKE is a 3- packet IKE exchange that does not provide identity-protection, but is faster, because fewer messages are exchanged.",show crypto isakmp groupname internet key exchange ike aggressive group name internet security association key management protocol isakmp ike packet ike exchange provide faster fewer messages exchanged
show crypto isakmp key,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp-key.htm,This command displays information on the Internet Key Exchange (IKE) pre-shared keys (PSK) for Internet Security Association and Key Management Protocol (ISAKMP).,show crypto isakmp key information internet key exchange ike keys psk internet security association key management protocol isakmp
show crypto isakmp policy,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-isakmp-pol.htm,"This command displays Internet Key Exchange (IKE) parameters for the Internet Security Association and Key Management Protocol (ISAKMP). Use the show crypto isakmp command to view ISAKMP settings, statistics and policies.",show crypto isakmp policy internet key exchange ike parameters internet security association key management protocol isakmp use show crypto isakmp view isakmp settings statistics policies
show crypto isakmp policy,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp-pol.htm,This command displays the pre-defined and manually-configured IKE policy details for the Internet Security Association and Key Management Protocol (ISAKMP).,show crypto isakmp policy ike policy details internet security association key management protocol isakmp
show crypto isakmp sa,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp-sa.htm,This command displays the crypto security associations for the Internet Security Association and Key Management Protocol (ISAKMP).,show crypto isakmp sa crypto security associations internet security association key management protocol isakmp
show crypto isakmp stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-isakmp-stat.htm,"This command displays Internet Key Exchange (IKE) parameters for the Internet Security Association and Key Management Protocol (ISAKMP). Use the show crypto isakmp command to view ISAKMP settings, statistics and policies.",show crypto isakmp stats internet key exchange ike parameters internet security association key management protocol isakmp use show crypto isakmp view isakmp settings statistics policies
show crypto isakmp uplink-vlan,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp-upl.htm,This command displays the uplink VLAN information for Internet Security Association and Key Management Protocol (ISAKMP).,show crypto isakmp uplink-vlan uplink vlan information internet security association key management protocol isakmp
show crypto map,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cryp-map.htm,"This command displays the global, dynamic, and default IPsec map configurations.",show crypto map global dynamic default ipsec map configurations
show crypto oto,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crypto-oto.htm,This command displays the current state of the connection between the tunnel orchestrator and the gateway.,show crypto oto current state connection tunnel orchestrator gateway
show crypto-local ipsec-map,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cryp-lcl-ipsc.htm,This command displays the current IPsec map configuration on the controller. The command show crypto-local ipsec displays the current IPsec configuration on the controller.,show crypto-local ipsec-map current ipsec map configuration controller show ipsec current ipsec configuration controller
show crypto-local isakmp ca-certificate,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crylcl-isk-ca.htm,This command displays the IKE Certificate Authority (CA) certificate details used to authenticate VPN clients for the Internet Security Association and Key Management Protocol (ISAKMP).,show crypto-local isakmp ca-certificate ike certificate authority ca certificate details used authenticate vpn clients internet security association key management protocol isakmp
show crypto-local isakmp ca-certificate,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-iskmp-ca.htm,This command displays Internet Key Exchange (IKE) parameters for the Internet Security Association and Key Management Protocol (ISAKMP). Use the show crypto-local isakmp command to view IKE parameters.,show crypto-local isakmp ca-certificate internet key exchange ike parameters internet security association key management protocol isakmp use show isakmp view ike parameters
show crypto-local isakmp certificate-group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-iskmp-cert-grp.htm,This command displays Internet Key Exchange (IKE) parameters for the Internet Security Association and Key Management Protocol (ISAKMP). Use the show crypto-local isakmp command to view IKE parameters.,show crypto-local isakmp certificate-group internet key exchange ike parameters internet security association key management protocol isakmp use show isakmp view ike parameters
show crypto-local isakmp dpd,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crylcl-isdpd.htm,This command displays the Internet Key Exchange (IKE) Dead Peer Detection (DPD) configuration on the gateway for site-to-site VPNs.,show crypto-local isakmp dpd internet key exchange ike dead peer detection dpd configuration gateway vpns
show crypto-local isakmp server-certificate,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-iskmp-svr-cert.htm,This command displays Internet Key Exchange (IKE) parameters for the Internet Security Association and Key Management Protocol (ISAKMP). Use the show crypto-local isakmp command to view IKE parameters.,show crypto-local isakmp server-certificate internet key exchange ike parameters internet security association key management protocol isakmp use show isakmp view ike parameters
show crypto-local pki,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-pki-trust-ca.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics.",show crypto-local pki local certificate ocsp signer responder certificate crl data statistics use show pki view crl certificate status ocsp client ocsp responder status statistics
show crypto-local pki CRL,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-pki-crl.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics.",show crypto-local pki CRL local certificate ocsp signer responder certificate crl data statistics use show pki view crl certificate status ocsp client ocsp responder status statistics
show crypto-local pki ocsp-client-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-pki-ocsp-clnt-stat.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics.",show crypto-local pki ocsp-client-stats local certificate ocsp signer responder certificate crl data statistics use show pki view crl certificate status ocsp client ocsp responder status statistics
show crypto-local pki OCSPResponderCert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crylcl-pk-rsp.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics.",show crypto-local pki OCSPResponderCert local certificate ocsp signer responder certificate crl data statistics use show pki view crl certificate status ocsp client ocsp responder status statistics
show crypto-local pki OCSPSignerCert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-pki-ocsp-sign-stat.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics.",show crypto-local pki OCSPSignerCert local certificate ocsp signer responder certificate crl data statistics use show pki view crl certificate status ocsp client ocsp responder status statistics
show crypto-local pki PublicCert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crylcl-pkpub.htm,This command displays the public key information of a certificate. This certificate allows an application to identify an exact certificate.,show crypto-local pki PublicCert public key information certificate certificate allows application identify exact certificate
show crypto-local pki rcp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-pki-rcp.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics.",show crypto-local pki rcp local certificate ocsp signer responder certificate crl data statistics use show pki view crl certificate status ocsp client ocsp responder status statistics
show crypto-local pki ServerCert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-pki-svr-cert.htm,"This command displays local certificate, OCSP signer or responder certificate, and CRL data and statistics. Use the show crypto-local pki command to view all CRL and certificate status, OCSP client and OCSP responder status and statistics.",show crypto-local pki ServerCert local certificate ocsp signer responder certificate crl data statistics use show pki view crl certificate status ocsp client ocsp responder status statistics
show crypto-local pki service-ocsp-responder,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crypk-sv-oc.htm,"This command displays the statistics of OCSP responder service. The default is disabled. To enable this option, a CRL must be configured for this revocation checkpoint, as this is the source of revocation information in the OCSP responses.",show crypto-local pki service-ocsp-responder statistics ocsp responder service default disabled enable option crl must configured revocation checkpoint source revocation information ocsp responses
show crypto-local pki TrustedCA,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crylcl-pk-trs.htm,This command displays trusted CA certificate information. This certificate can be either a root CA or intermediate CA.,show crypto-local pki TrustedCA trusted ca certificate information certificate either root ca intermediate ca
